종목코드,총자산,총자본회전율,부채비율,매출액증가율,자기자본회전율,당기순이익,최대주주변경,대표이사변경,전환사채,파산신청,거래정지,불성실공시법인,레이블
36660,137.1164546,0.344872871,0.217209348,1.253229063,41.97824829,-49.50992548,4,4,4,0,10,4,1
36760,356.8106934,0.108612169,14.64238528,-0.430462121,169.8953393,-487.2826532,2,3,0,0,15,6,1
36790,238.6860702,0.223273143,2.334355289,-0.57632194,74.44719862,-287.9464891,1,2,9,0,10,3,1
37020,222.0996777,0.341026739,0.743043418,-0.511430434,59.44244122,-55.01729714,2,2,0,0,10,6,1
37110,110.949702,0.303733372,2.122036648,0.102612776,94.8266718,-42.94396556,1,1,10,0,5,0,1
37540,331.7562401,0.496439958,0.579103786,0.254084837,78.39302178,-195.854541,0,3,2,0,4,7,1
37550,182.8860437,0.22056666,2.832814136,-0.096277022,84.53910122,-173.422714,0,0,7,0,10,0,1
37630,397.6229339,0.69917675,0.113044643,0.06582339,77.82149364,64.17522986,5,4,0,0,6,8,1
37830,118.5434892,0.756790637,0.477542535,-0.471753755,111.8190356,-379.7791134,0,3,0,0,4,0,1
38320,146.2071314,1.58878194,1.609081048,-0.120674747,414.5260848,-223.7307935,0,1,2,0,5,2,1
38410,1047.533241,0.57317498,0.831427687,0.354332292,104.9728527,68.37401305,0,5,3,0,4,2,1
38690,518.4028426,0.377840351,0.913356959,-0.23139077,72.29434643,-118.4712676,0,11,6,0,10,2,1
38710,644.4523255,0.397672555,34.1763473,7.140540306,1398.866791,-463.6894734,1,2,1,0,7,0,1
38810,216.343217,0.277397386,-1.248279888,-0.45741856,-6.887219171,-841.1027509,2,1,0,0,14,2,1
39350,147.6955479,0.331510352,0.752189576,2.253759398,58.08689838,-190.5233331,2,2,0,0,8,0,1
39850,77.50673659,1.071044126,0.93288286,-0.213851053,207.0202834,-49.43638739,4,6,0,0,6,2,1
39990,228.4529219,0.221766933,-3.355523659,-0.775660205,-52.2377257,-320.1040795,6,4,16,0,16,3,1
40180,101.3646579,0.359776817,0.081358447,-0.127622052,38.90477002,-30.7577666,2,5,0,0,8,0,1
40670,68.04684249,1.049472952,-2.006026071,-0.200389979,-105.579715,-177.4369102,0,1,9,0,7,0,1
40740,701.9464568,0.636911106,1.460239569,-0.217903834,156.6953905,-91.83990628,2,1,6,0,8,2,1
41030,223.0206722,0.735968225,1.034036396,-0.115162753,149.6986157,-388.9680073,2,3,0,0,4,0,1
41060,101.8833151,0.377839221,0.127880486,-0.844120984,42.61574845,6.60469381,0,1,0,0,8,0,1
41320,409.6158088,0.184758581,0.530009006,-0.136245353,28.26822931,-97.76993384,1,3,0,0,9,6,1
41450,547.931614,1.366055825,2.283416285,-0.308450246,448.5329942,-387.2109092,0,1,1,0,8,1,1
41550,550.0824602,0.411751212,1.393993729,0.0089652,98.57298189,-373.4863341,3,5,2,0,7,0,1
41630,333.5696154,0.250731032,0.132361473,-0.123667186,28.39181606,-116.673018,1,1,0,0,2,0,1
41800,242.3093546,1.210172109,0.673077765,-0.146270127,202.4712047,-420.3919822,2,2,0,0,6,4,1
42870,105.7605758,0.415822592,5.580025165,-0.005550701,273.612312,-334.5987814,0,1,0,0,6,0,1
43630,395.9934051,0.218483041,0.942206724,-0.798742001,42.43392314,-251.4856761,1,1,0,0,8,1,1
43680,146.9441254,1.018610645,-4.246844432,-0.301789845,-330.7270301,-320.742856,4,2,4,0,7,4,1
44070,391.4905884,0.835248515,0.419677121,0.260539853,118.5783207,28.04129468,1,0,2,0,3,0,1
44770,174.0971686,0.868984325,-12.10431135,-0.411084092,-964.9472494,-280.1638156,1,0,0,0,10,2,1
45290,285.7965714,0.252774729,0.129385925,0.326516658,28.54802208,-178.2330582,1,5,4,0,8,2,1
45470,514.1132635,0.727724596,0.907666245,0.03220077,138.8255647,-39.22208483,0,2,3,0,11,8,1
45880,170.3628801,0.268498217,-7.658017705,-0.485792521,-178.7665881,-106.0529118,1,4,1,0,8,2,1
46240,394.9299602,0.160609938,2.409513548,-0.630379027,54.76017612,-343.6595046,1,4,2,0,6,7,1
46320,505.3818679,0.250929794,-4.075017048,1.370977002,-77.16133942,-230.4676234,0,3,18,0,10,2,1
46350,276.8565018,0.091878704,0.569724946,-0.708504991,14.42242941,-74.88816206,1,1,4,0,8,0,1
46430,127.89992,0.690836646,0.733890106,-0.824149085,119.7834826,-124.8886783,1,3,1,0,4,0,1
46720,705.7253216,0.84909213,1.548845707,0.153277082,216.4204829,-18.26864158,8,3,3,0,6,4,1
46840,455.3421927,0.437071466,1.938740673,-0.227571355,128.4439693,-116.8476141,1,0,0,0,3,0,1
47440,668.146313,1.201496121,1.980888852,-0.195812207,358.1526393,-276.8914227,0,0,5,6,14,0,1
